min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix,busy_count
61.0,70.25,90.0,4.182629109825939,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,5337
57.0,71.28125,89.0,3.649064861005172,18,18,0.5625,0.0,0.5625,0.010227272727272729,0.0,0.010227272727272729,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,5378
56.0,70.5,81.0,3.645972178084776,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,5250
59.0,71.5625,85.0,3.6423683029133826,23,23,0.71875,0.0,0.71875,0.01306818181818182,0.0,0.01306818181818182,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,5373
60.0,70.6875,91.0,3.640882615931332,15,15,0.46875,0.0,0.46875,0.008522727272727274,0.0,0.008522727272727274,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,5387
61.0,73.40625,91.0,3.6596086169593036,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,5321
55.0,72.0,88.0,3.6878867999184877,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,20,62.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,5356
60.0,70.1875,94.0,3.6543073870707303,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,5296
60.0,72.90625,91.0,3.652475234121084,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,5456
54.0,70.9375,92.0,3.6529411440715194,34,34,1.0625,0.0,1.0625,0.01931818181818182,0.0,0.01931818181818182,10,31.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,5474
