min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix,busy_count
53.0,67.34375,85.0,12.35896594892256,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,20,62.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,67.625,86.0,3.6296355098020285,18,18,0.5625,0.0,0.5625,0.010227272727272729,0.0,0.010227272727272729,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
51.0,68.0625,85.0,3.6436227578669786,14,14,0.4375,0.0,0.4375,0.007954545454545455,0.0,0.007954545454545455,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,68.34375,85.0,3.6388943549245596,26,26,0.8125,0.0,0.8125,0.014772727272727274,0.0,0.014772727272727274,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
58.0,66.75,85.0,3.6399009560700506,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,67.84375,84.0,3.6499498849734664,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,70.125,88.0,3.6500257258303463,24,24,0.75,0.0,0.75,0.01363636363636364,0.0,0.01363636363636364,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
57.0,67.75,92.0,3.656920935958624,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
60.0,69.40625,81.0,3.6532386641483754,25,25,0.78125,0.0,0.78125,0.014204545454545458,0.0,0.014204545454545458,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,68.90625,92.0,3.6479017790406942,24,24,0.75,0.0,0.75,0.01363636363636364,0.0,0.01363636363636364,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,67.59375,87.0,3.652580528985709,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,65.75,85.0,3.653462350135669,15,15,0.46875,0.0,0.46875,0.008522727272727274,0.0,0.008522727272727274,20,62.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,65.78125,84.0,3.637937380000949,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,66.125,86.0,3.646778613794595,24,24,0.75,0.0,0.75,0.013636363636363637,0.0,0.013636363636363637,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
57.0,66.375,75.0,3.652074880897999,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,67.375,86.0,3.6544939330779016,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,66.875,75.0,3.652404353953898,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,70.0625,85.0,3.657404874218628,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
59.0,68.90625,102.0,3.634498719125986,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
57.0,67.15625,89.0,3.6608332169707865,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
58.0,66.75,86.0,3.6388755918014795,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,67.34375,86.0,3.6472880749497563,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,67.625,84.0,3.6497594388201833,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,65.84375,79.0,3.6488845210988075,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,68.375,84.0,3.665598067920655,12,12,0.375,0.0,0.375,0.006818181818181819,0.0,0.006818181818181819,21,65.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
59.0,69.25,84.0,3.659510313998908,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,68.28125,91.0,3.6468354240059853,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
60.0,68.28125,81.0,3.640046293148771,24,24,0.75,0.0,0.75,0.01363636363636364,0.0,0.01363636363636364,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,68.90625,91.0,3.6389711818192154,27,27,0.84375,0.0,0.84375,0.015340909090909094,0.0,0.015340909090909094,11,34.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,68.96875,87.0,3.6545838981401175,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,67.90625,85.0,3.6362469331361353,15,15,0.46875,0.0,0.46875,0.008522727272727274,0.0,0.008522727272727274,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
57.0,67.9375,86.0,3.6354931991081685,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,69.15625,91.0,3.644086929038167,24,24,0.75,0.0,0.75,0.01363636363636364,0.0,0.01363636363636364,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,68.96875,85.0,3.6445953701622784,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,67.75,81.0,3.6548815360292792,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
58.0,67.90625,81.0,3.647289132932201,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,68.65625,81.0,3.6540034420322627,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,67.34375,79.0,3.6461450529750437,16,16,0.5,0.0,0.5,0.009090909090909092,0.0,0.009090909090909092,22,68.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
58.0,68.75,93.0,3.6466693868860602,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
58.0,67.5,84.0,3.647852726979181,18,18,0.5625,0.0,0.5625,0.010227272727272729,0.0,0.010227272727272729,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,68.1875,84.0,3.6474278569221497,30,30,0.9375,0.0,0.9375,0.017045454545454548,0.0,0.017045454545454548,11,34.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
60.0,67.78125,79.0,3.6414035300258547,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,67.03125,82.0,3.6400910541415215,23,23,0.71875,0.0,0.71875,0.01306818181818182,0.0,0.01306818181818182,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
51.0,67.90625,84.0,3.638184000039473,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,68.5,85.0,3.6417896300554276,25,25,0.78125,0.0,0.78125,0.014204545454545458,0.0,0.014204545454545458,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,65.1875,89.0,3.6528322719968855,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,66.34375,79.0,3.642552844947204,18,18,0.5625,0.0,0.5625,0.010227272727272729,0.0,0.010227272727272729,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,66.84375,87.0,3.654351944802329,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
59.0,67.53125,81.0,3.6499780188314617,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
57.0,68.0,97.0,3.640988362953067,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
