min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix
55.0,71.15625,97.0,8.097779633942991,24,24,0.75,0.0,0.75,0.01363636363636364,0.0,0.01363636363636364,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
60.0,74.03125,88.0,6.88614364201203,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
58.0,71.0625,91.0,7.108990001026541,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
55.0,72.25,87.0,7.159438081085682,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
59.0,72.5,84.0,6.898034810088575,14,14,0.4375,0.0,0.4375,0.007954545454545455,0.0,0.007954545454545455,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
54.0,73.40625,92.0,7.2064576470293105,26,26,0.8125,0.0,0.8125,0.014772727272727276,0.0,0.014772727272727276,9,28.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
60.0,73.59375,93.0,7.1955875309649855,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
55.0,74.03125,97.0,7.457889253040776,25,25,0.78125,0.0,0.78125,0.014204545454545458,0.0,0.014204545454545458,9,28.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
53.0,71.125,91.0,7.227453392930329,23,23,0.71875,0.0,0.71875,0.01306818181818182,0.0,0.01306818181818182,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
60.0,71.71875,92.0,6.795365781988949,15,15,0.46875,0.0,0.46875,0.008522727272727274,0.0,0.008522727272727274,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
