min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix,busy_count
58.0,69.375,92.0,7.834445635788143,11,11,0.34375,0.0,0.34375,0.00625,0.0,0.00625,22,68.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,67.125,94.0,7.01034383289516,7,7,0.21875,0.0,0.21875,0.003977272727272728,0.0,0.003977272727272728,26,81.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,65.40625,88.0,7.297456597909331,9,9,0.28125,0.0,0.28125,0.0051136363636363645,0.0,0.0051136363636363645,23,71.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,67.65625,80.0,7.188685441855341,14,14,0.4375,0.0,0.4375,0.007954545454545455,0.0,0.007954545454545455,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
58.0,69.03125,85.0,6.451060448307544,8,8,0.25,0.0,0.25,0.004545454545454546,0.0,0.004545454545454546,26,81.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,68.375,84.0,6.682316190097481,13,13,0.40625,0.0,0.40625,0.007386363636363637,0.0,0.007386363636363637,20,62.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,66.9375,81.0,6.798826348036528,9,9,0.28125,0.0,0.28125,0.0051136363636363645,0.0,0.0051136363636363645,23,71.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,67.78125,79.0,7.065482693724334,7,7,0.21875,0.0,0.21875,0.003977272727272728,0.0,0.003977272727272728,25,78.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,67.9375,91.0,6.661107324063778,4,4,0.125,0.0,0.125,0.0022727272727272726,0.0,0.0022727272727272726,28,87.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,67.1875,85.0,7.179585162550211,10,10,0.3125,0.0,0.3125,0.005681818181818182,0.0,0.005681818181818182,23,71.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
53.0,68.6875,83.0,7.161453565116972,10,10,0.3125,0.0,0.3125,0.005681818181818183,0.0,0.005681818181818183,22,68.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,66.84375,95.0,7.008105652872473,6,6,0.1875,0.0,0.1875,0.0034090909090909094,0.0,0.0034090909090909094,26,81.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
57.0,67.9375,85.0,6.7348188031464815,14,14,0.4375,0.0,0.4375,0.007954545454545455,0.0,0.007954545454545455,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,66.625,78.0,7.228323082905263,11,11,0.34375,0.0,0.34375,0.006250000000000001,0.0,0.006250000000000001,21,65.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,68.03125,80.0,7.3035081550478935,7,7,0.21875,0.0,0.21875,0.003977272727272728,0.0,0.003977272727272728,25,78.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
57.0,68.65625,90.0,6.755250792019069,11,11,0.34375,0.0,0.34375,0.006250000000000001,0.0,0.006250000000000001,21,65.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,69.5,86.0,7.293420483358204,11,11,0.34375,0.0,0.34375,0.006250000000000001,0.0,0.006250000000000001,21,65.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
59.0,67.78125,79.0,7.219403034076095,11,11,0.34375,0.0,0.34375,0.006250000000000001,0.0,0.006250000000000001,22,68.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
58.0,67.03125,88.0,6.720240725204349,6,6,0.1875,0.0,0.1875,0.0034090909090909094,0.0,0.0034090909090909094,26,81.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
59.0,67.375,85.0,7.130051041953266,7,7,0.21875,0.0,0.21875,0.003977272727272728,0.0,0.003977272727272728,25,78.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
57.0,68.46875,89.0,6.738117513246834,9,9,0.28125,0.0,0.28125,0.005113636363636364,0.0,0.005113636363636364,24,75.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
57.0,68.28125,80.0,6.854603149928153,10,10,0.3125,0.0,0.3125,0.005681818181818183,0.0,0.005681818181818183,22,68.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,69.90625,90.0,7.259030525106937,4,4,0.125,0.0,0.125,0.0022727272727272726,0.0,0.0022727272727272726,28,87.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,67.90625,80.0,6.863612158689648,7,7,0.21875,0.0,0.21875,0.003977272727272728,0.0,0.003977272727272728,25,78.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,70.59375,97.0,7.1912935501895845,9,9,0.28125,0.0,0.28125,0.0051136363636363645,0.0,0.0051136363636363645,23,71.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,67.96875,85.0,6.445384278893471,10,10,0.3125,0.0,0.3125,0.005681818181818183,0.0,0.005681818181818183,22,68.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,68.3125,96.0,7.146381543017924,5,5,0.15625,0.0,0.15625,0.002840909090909091,0.0,0.002840909090909091,27,84.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
60.0,67.90625,85.0,6.430494823958725,7,7,0.21875,0.0,0.21875,0.003977272727272728,0.0,0.003977272727272728,25,78.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
50.0,65.3125,86.0,6.426036379300058,9,9,0.28125,0.0,0.28125,0.005113636363636364,0.0,0.005113636363636364,24,75.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,65.625,79.0,6.85800022399053,6,6,0.1875,0.0,0.1875,0.0034090909090909094,0.0,0.0034090909090909094,26,81.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
