min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix,busy_count
46.0,61.90625,79.0,4.525248864199966,41,41,1.28125,0.0,1.28125,0.02329545454545455,0.0,0.02329545454545455,4,12.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
51.0,59.875,69.0,4.06004369398579,43,43,1.34375,0.0,1.34375,0.024431818181818186,0.0,0.024431818181818186,7,21.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
50.0,61.78125,80.0,4.047153395134956,31,31,0.96875,0.0,0.96875,0.017613636363636366,0.0,0.017613636363636366,8,25.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
45.0,57.8125,71.0,4.0564381228759885,39,39,1.21875,0.0,1.21875,0.022159090909090913,0.0,0.022159090909090913,8,25.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
48.0,59.65625,68.0,4.064995994325727,35,35,1.09375,0.0,1.09375,0.01988636363636364,0.0,0.01988636363636364,10,31.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
50.0,59.875,71.0,4.05920124379918,22,22,0.6875,0.0,0.6875,0.0125,0.0,0.0125,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
47.0,58.59375,73.0,4.078149237204343,31,31,0.96875,0.0,0.96875,0.017613636363636366,0.0,0.017613636363636366,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
50.0,59.96875,81.0,4.064862889237702,26,26,0.8125,0.0,0.8125,0.014772727272727276,0.0,0.014772727272727276,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
49.0,58.3125,71.0,4.05975996889174,29,29,0.90625,0.0,0.90625,0.01647727272727273,0.0,0.01647727272727273,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
48.0,58.46875,72.0,4.051636511925608,34,34,1.0625,0.0,1.0625,0.01931818181818182,0.0,0.01931818181818182,9,28.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
49.0,58.9375,75.0,4.065196476876736,43,43,1.34375,0.0,1.34375,0.024431818181818186,0.0,0.024431818181818186,7,21.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
50.0,58.78125,72.0,4.0619250000454485,31,31,0.96875,0.0,0.96875,0.017613636363636366,0.0,0.017613636363636366,11,34.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
