ma1,ma2,ma3,ma4,ma5,ma6
10.3125,6.875,12.25,7.25,4.375,13.9375
10.78125,7.21875,12.78125,7.0,4.25,12.96875
10.90625,7.15625,11.53125,6.6875,4.59375,14.125
10.96875,6.96875,12.25,7.15625,4.5625,13.09375
10.375,7.6875,12.78125,7.09375,4.28125,12.78125
11.3125,7.1875,13.0,6.71875,4.15625,12.625
11.0,6.96875,11.8125,7.09375,4.65625,13.46875
11.4375,7.125,11.75,6.8125,4.625,13.25
11.03125,6.96875,12.03125,7.09375,4.59375,13.28125
11.34375,7.1875,11.96875,6.5625,4.375,13.5625
10.96875,6.875,12.1875,6.9375,4.34375,13.6875
10.875,6.90625,12.5625,7.0,4.46875,13.1875
10.78125,6.9375,12.0625,6.78125,4.625,13.8125
10.71875,7.40625,11.84375,6.875,4.46875,13.6875
10.84375,6.875,12.25,7.03125,4.6875,13.3125
11.46875,7.3125,12.5,6.5,4.5,12.71875
10.84375,7.375,12.03125,6.59375,4.1875,13.96875
10.9375,7.375,11.96875,6.53125,4.6875,13.5
10.4375,6.78125,12.15625,7.0,4.5,14.125
11.0,7.125,12.125,6.96875,4.25,13.53125
10.75,6.90625,11.96875,6.875,4.875,13.625
10.59375,7.21875,12.125,6.9375,4.4375,13.6875
11.125,6.96875,11.84375,6.71875,4.5625,13.78125
10.65625,7.03125,11.78125,7.4375,4.59375,13.5
10.5625,7.0,12.15625,6.96875,4.5,13.8125
11.09375,7.15625,11.8125,6.65625,4.625,13.65625
10.96875,6.875,11.625,6.90625,4.65625,13.96875
10.1875,7.21875,12.15625,6.9375,4.5625,13.9375
10.9375,6.8125,12.28125,7.03125,4.3125,13.625
10.53125,7.0,12.53125,7.28125,4.4375,13.21875
10.4375,7.5625,12.125,6.5,5.0625,13.3125
10.4375,7.25,12.625,6.71875,4.5,13.46875
11.0,7.15625,12.9375,6.5,4.28125,13.125
10.65625,7.34375,12.1875,6.84375,4.625,13.34375
10.59375,7.0,12.59375,6.9375,4.46875,13.40625
10.90625,7.03125,12.84375,6.90625,4.0625,13.25
10.78125,7.0,12.40625,6.6875,4.5625,13.5625
10.90625,7.0625,11.8125,6.9375,4.625,13.65625
10.6875,6.78125,11.90625,7.53125,4.5625,13.53125
10.875,7.21875,12.375,6.78125,4.3125,13.4375
11.0,7.0625,11.40625,6.6875,4.75,14.09375
10.8125,7.0,11.78125,7.375,4.625,13.40625
10.96875,7.46875,11.375,7.03125,4.53125,13.625
10.78125,7.21875,12.53125,6.78125,4.4375,13.25
11.40625,6.96875,12.25,7.0,4.0,13.375
11.15625,7.0,11.78125,7.25,4.5625,13.25
10.875,7.15625,11.75,6.84375,4.65625,13.71875
10.6875,7.21875,11.65625,6.5625,4.6875,14.1875
10.40625,7.0,12.65625,6.9375,4.8125,13.1875
11.0625,7.21875,11.875,6.6875,4.75,13.40625
10.8125,6.90625,12.375,6.625,4.84375,13.4375
10.5625,7.0625,12.03125,7.25,5.0625,13.03125
