min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix
112.0,118.21875,130.0,0,9,9,0.28125,0.0,0.28125,0.005113636363636364,0.0,0.005113636363636364,31,96.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
112.0,118.8125,133.0,0,9,9,0.28125,0.0,0.28125,0.005113636363636364,0.0,0.005113636363636364,31,96.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
112.0,114.9375,125.0,0,9,9,0.28125,0.0,0.28125,0.005113636363636364,0.0,0.005113636363636364,31,96.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
112.0,117.4375,127.0,0,9,9,0.28125,0.0,0.28125,0.005113636363636364,0.0,0.005113636363636364,31,96.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
112.0,116.3125,132.0,0,9,9,0.28125,0.0,0.28125,0.005113636363636364,0.0,0.005113636363636364,31,96.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
112.0,118.09375,129.0,0,9,9,0.28125,0.0,0.28125,0.005113636363636364,0.0,0.005113636363636364,31,96.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
112.0,117.375,135.0,0,9,9,0.28125,0.0,0.28125,0.005113636363636364,0.0,0.005113636363636364,31,96.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
112.0,118.625,144.0,0,9,9,0.28125,0.0,0.28125,0.005113636363636364,0.0,0.005113636363636364,31,96.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
112.0,118.3125,128.0,0,9,9,0.28125,0.0,0.28125,0.005113636363636364,0.0,0.005113636363636364,31,96.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
112.0,118.125,127.0,0,9,9,0.28125,0.0,0.28125,0.005113636363636364,0.0,0.005113636363636364,31,96.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
