min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix,busy_count
53.0,63.25,77.0,4.45768113527447,23,23,0.71875,0.0,0.71875,0.012392241379310344,0.0,0.012392241379310344,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
53.0,66.4375,87.0,4.062393506988883,25,25,0.78125,0.0,0.78125,0.013469827586206896,0.0,0.013469827586206896,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
52.0,66.53125,89.0,4.06901933811605,36,36,1.125,0.0,1.125,0.019396551724137928,0.0,0.019396551724137928,9,28.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,68.0,88.0,4.114794312044978,28,28,0.875,0.0,0.875,0.015086206896551723,0.0,0.015086206896551723,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,66.40625,83.0,4.070859986823052,21,21,0.65625,0.0,0.65625,0.011314655172413791,0.0,0.011314655172413791,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,64.59375,85.0,4.068757273256779,28,28,0.875,0.0,0.875,0.015086206896551721,0.0,0.015086206896551721,11,34.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
53.0,63.75,84.0,4.071623081341386,31,31,0.96875,0.0,0.96875,0.01670258620689655,0.0,0.01670258620689655,11,34.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
50.0,66.8125,91.0,4.096601660829037,26,26,0.8125,0.0,0.8125,0.01400862068965517,0.0,0.01400862068965517,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,67.0625,91.0,4.060281223151833,28,28,0.875,0.0,0.875,0.015086206896551718,0.0,0.015086206896551718,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
53.0,65.84375,83.0,4.066941854078323,21,21,0.65625,0.0,0.65625,0.011314655172413791,0.0,0.011314655172413791,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
53.0,64.09375,75.0,4.066835344769061,26,26,0.8125,0.0,0.8125,0.014008620689655171,0.0,0.014008620689655171,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
51.0,65.59375,82.0,4.094807212706655,24,24,0.75,0.0,0.75,0.012931034482758619,0.0,0.012931034482758619,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
53.0,64.125,80.0,4.074147660750896,21,21,0.65625,0.0,0.65625,0.011314655172413791,0.0,0.011314655172413791,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
49.0,63.71875,80.0,4.0724753937684,16,16,0.5,0.0,0.5,0.008620689655172415,0.0,0.008620689655172415,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
53.0,65.0625,91.0,4.082875983789563,34,34,1.0625,0.0,1.0625,0.018318965517241378,0.0,0.018318965517241378,11,34.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
48.0,66.375,99.0,4.078211592044681,35,35,1.09375,0.0,1.09375,0.018857758620689655,0.0,0.018857758620689655,10,31.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,65.40625,84.0,4.105418549850583,27,27,0.84375,0.0,0.84375,0.014547413793103448,0.0,0.014547413793103448,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
51.0,66.1875,83.0,4.072253670077771,27,27,0.84375,0.0,0.84375,0.014547413793103448,0.0,0.014547413793103448,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
52.0,66.9375,88.0,4.06880581472069,21,21,0.65625,0.0,0.65625,0.011314655172413793,0.0,0.011314655172413793,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
53.0,64.96875,84.0,4.057822603266686,29,29,0.90625,0.0,0.90625,0.015624999999999997,0.0,0.015624999999999997,11,34.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
52.0,67.53125,87.0,4.0858704638667405,18,18,0.5625,0.0,0.5625,0.009698275862068964,0.0,0.009698275862068964,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,65.03125,76.0,4.0701938439160585,34,34,1.0625,0.0,1.0625,0.018318965517241378,0.0,0.018318965517241378,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
50.0,63.09375,73.0,4.081191400997341,18,18,0.5625,0.0,0.5625,0.009698275862068962,0.0,0.009698275862068962,20,62.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
53.0,65.53125,87.0,4.061805763747543,22,22,0.6875,0.0,0.6875,0.011853448275862068,0.0,0.011853448275862068,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,65.15625,82.0,4.0785135817714036,26,26,0.8125,0.0,0.8125,0.014008620689655171,0.0,0.014008620689655171,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
53.0,64.53125,80.0,4.072881304193288,19,19,0.59375,0.0,0.59375,0.010237068965517241,0.0,0.010237068965517241,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,65.75,97.0,4.0784058892168105,25,25,0.78125,0.0,0.78125,0.013469827586206892,0.0,0.013469827586206892,11,34.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
53.0,65.40625,89.0,4.065571298822761,24,24,0.75,0.0,0.75,0.01293103448275862,0.0,0.01293103448275862,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
53.0,65.5,98.0,4.084865768905729,32,32,1.0,0.0,1.0,0.017241379310344827,0.0,0.017241379310344827,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
52.0,64.875,85.0,4.068923484068364,29,29,0.90625,0.0,0.90625,0.015624999999999997,0.0,0.015624999999999997,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
50.0,65.96875,94.0,4.043125411961228,32,32,1.0,0.0,1.0,0.017241379310344824,0.0,0.017241379310344824,10,31.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
51.0,65.09375,85.0,4.063044922892004,14,14,0.4375,0.0,0.4375,0.007543103448275864,0.0,0.007543103448275864,20,62.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,66.40625,86.0,4.091418826952577,24,24,0.75,0.0,0.75,0.012931034482758619,0.0,0.012931034482758619,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,66.21875,83.0,4.060100103262812,32,32,1.0,0.0,1.0,0.017241379310344827,0.0,0.017241379310344827,7,21.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,67.25,85.0,4.084185030777007,25,25,0.78125,0.0,0.78125,0.013469827586206896,0.0,0.013469827586206896,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
53.0,66.78125,84.0,4.058668273966759,28,28,0.875,0.0,0.875,0.015086206896551718,0.0,0.015086206896551718,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
50.0,63.46875,81.0,4.051795907784253,22,22,0.6875,0.0,0.6875,0.011853448275862067,0.0,0.011853448275862067,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
51.0,67.5625,87.0,4.0618943008594215,26,26,0.8125,0.0,0.8125,0.014008620689655171,0.0,0.014008620689655171,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
53.0,65.75,85.0,4.077841788996011,28,28,0.875,0.0,0.875,0.01508620689655172,0.0,0.01508620689655172,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
53.0,64.0625,79.0,4.085929038003087,22,22,0.6875,0.0,0.6875,0.011853448275862068,0.0,0.011853448275862068,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,66.28125,85.0,4.095314698759466,23,23,0.71875,0.0,0.71875,0.012392241379310342,0.0,0.012392241379310342,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,66.46875,77.0,4.090026352088898,22,22,0.6875,0.0,0.6875,0.011853448275862067,0.0,0.011853448275862067,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
52.0,66.21875,87.0,4.090743089094758,25,25,0.78125,0.0,0.78125,0.013469827586206894,0.0,0.013469827586206894,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,67.28125,86.0,4.083963491953909,23,23,0.71875,0.0,0.71875,0.012392241379310347,0.0,0.012392241379310347,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
53.0,64.0625,81.0,4.100569236092269,26,26,0.8125,0.0,0.8125,0.014008620689655173,0.0,0.014008620689655173,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
58.0,69.96875,85.0,4.073622253257781,31,31,0.96875,0.0,0.96875,0.016702586206896554,0.0,0.016702586206896554,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,68.21875,88.0,4.087611759081483,31,31,0.96875,0.0,0.96875,0.01670258620689655,0.0,0.01670258620689655,9,28.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
