ma1,ma2,ma3,ma4,ma5,ma6
6.65625,13.125,8.65625,8.125,11.03125,10.40625
6.34375,14.0,8.71875,8.0,10.28125,10.65625
6.5,13.96875,8.5625,7.375,10.4375,11.15625
6.09375,14.6875,8.0625,8.21875,10.59375,10.34375
6.0,13.96875,8.25,8.59375,10.375,10.8125
6.96875,13.6875,8.90625,7.90625,9.75,10.78125
6.6875,13.21875,9.6875,7.84375,10.1875,10.375
6.40625,14.78125,7.53125,8.21875,10.3125,10.75
6.09375,14.125,9.21875,7.5,10.28125,10.78125
6.3125,14.3125,8.71875,8.21875,9.34375,11.09375
6.5,12.90625,8.5625,8.09375,11.125,10.8125
6.25,14.09375,7.9375,7.65625,10.46875,11.59375
6.375,13.84375,8.75,7.71875,10.4375,10.875
6.71875,12.40625,8.65625,8.21875,10.4375,11.5625
6.6875,13.03125,9.34375,7.4375,10.25,11.25
5.9375,14.3125,8.8125,8.1875,10.0,10.75
6.71875,13.40625,8.5,8.59375,9.90625,10.875
6.4375,13.5625,9.21875,7.5625,10.34375,10.875
7.03125,13.96875,7.625,8.21875,10.46875,10.6875
6.4375,13.75,8.59375,7.59375,10.78125,10.84375
6.46875,14.09375,8.4375,7.84375,10.59375,10.5625
6.59375,13.46875,9.375,7.21875,10.84375,10.5
6.71875,13.21875,8.4375,8.15625,10.25,11.21875
6.53125,13.96875,8.0625,8.84375,9.78125,10.8125
6.90625,13.875,7.875,8.46875,10.09375,10.78125
7.125,13.40625,8.15625,8.40625,9.875,11.03125
6.03125,13.875,8.375,8.1875,11.125,10.40625
6.40625,13.84375,8.53125,8.3125,10.5625,10.34375
5.84375,14.4375,9.09375,8.5625,10.125,9.9375
6.71875,13.5625,8.03125,8.5,10.375,10.8125
6.6875,14.0,8.21875,7.6875,10.40625,11.0
6.25,13.78125,9.5,7.6875,10.71875,10.0625
6.375,13.3125,8.9375,7.75,10.8125,10.8125
6.25,14.25,8.28125,7.84375,10.375,11.0
6.34375,14.34375,8.5625,7.625,10.6875,10.4375
5.875,14.25,8.40625,8.6875,10.28125,10.5
6.625,13.78125,8.5625,7.5,9.9375,11.59375
6.53125,13.84375,8.6875,7.4375,10.03125,11.46875
6.375,13.875,8.46875,7.96875,10.71875,10.59375
6.5,13.4375,9.03125,7.9375,10.625,10.46875
7.1875,14.15625,7.90625,7.625,10.25,10.875
6.0625,13.8125,9.125,7.6875,11.59375,9.71875
6.28125,13.53125,8.84375,7.4375,10.25,11.65625
5.9375,14.15625,8.8125,8.0,11.0,10.09375
6.46875,14.125,8.3125,8.40625,10.34375,10.34375
5.625,15.09375,8.0625,7.96875,10.875,10.375
6.46875,14.875,8.34375,7.53125,9.65625,11.125
6.40625,14.0625,8.5,7.75,10.65625,10.625
6.28125,13.8125,8.46875,8.125,10.34375,10.96875
6.4375,14.375,8.59375,7.34375,10.0625,11.1875
6.28125,13.625,8.8125,8.0,9.75,11.53125
6.28125,13.96875,7.53125,8.375,10.46875,11.375
6.71875,13.84375,8.625,7.34375,10.53125,10.9375
6.5,13.28125,8.15625,8.3125,10.6875,11.0625
6.40625,14.15625,7.875,8.75,9.375,11.4375
6.5,14.09375,8.125,7.8125,10.03125,11.4375
6.03125,13.59375,9.15625,8.125,10.5625,10.53125
7.25,12.625,8.5,8.53125,10.4375,10.65625
6.21875,13.59375,8.8125,7.8125,10.0,11.5625
6.71875,14.03125,8.84375,7.5625,10.46875,10.375
6.625,14.125,8.4375,8.15625,9.875,10.78125
6.09375,15.03125,7.6875,7.28125,10.84375,11.0625
7.4375,12.96875,8.84375,7.78125,10.96875,10.0
6.71875,13.0,8.375,8.09375,10.1875,11.625
6.65625,14.25,7.8125,8.1875,10.375,10.71875
6.6875,13.375,8.78125,8.28125,9.46875,11.40625
6.9375,13.53125,8.34375,8.1875,10.46875,10.53125
6.15625,14.3125,8.34375,8.0625,9.71875,11.40625
6.84375,13.125,9.4375,8.3125,10.0,10.28125
6.71875,13.40625,8.84375,8.3125,9.875,10.84375
6.0,13.9375,9.34375,7.5,10.1875,11.03125
6.3125,13.65625,8.96875,7.78125,10.4375,10.84375
6.0,13.8125,8.625,8.1875,10.71875,10.65625
6.21875,13.4375,8.65625,8.03125,11.0625,10.59375
6.40625,14.28125,8.46875,8.09375,10.6875,10.0625
6.40625,13.25,9.0625,8.28125,10.4375,10.5625
7.09375,13.1875,9.0625,8.03125,10.59375,10.03125
6.1875,14.21875,8.875,7.9375,10.625,10.15625
6.5,13.1875,8.46875,8.21875,10.6875,10.9375
6.625,12.84375,9.15625,8.46875,10.53125,10.375
7.125,14.09375,8.3125,7.28125,10.34375,10.84375
6.71875,13.40625,8.75,7.34375,10.6875,11.09375
6.65625,13.78125,9.53125,7.78125,10.15625,10.09375
6.0625,13.625,8.09375,7.65625,11.09375,11.46875
5.875,13.65625,8.78125,8.65625,10.96875,10.0625
6.40625,13.78125,8.90625,7.53125,10.25,11.125
6.59375,12.84375,9.3125,8.25,10.15625,10.84375
6.5,13.84375,8.5,7.96875,10.96875,10.21875
6.625,14.78125,8.5,7.6875,9.875,10.53125
6.03125,13.34375,9.75,7.78125,10.75,10.34375
