ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8
16.5625,2.34375,14.09375,13.90625,5.875,20.375,14.6875,2.15625
16.1875,2.71875,14.15625,13.53125,6.4375,20.125,14.625,2.21875
16.34375,2.875,13.625,14.34375,6.40625,19.46875,14.96875,1.96875
17.15625,2.59375,13.5625,13.40625,6.71875,19.71875,14.78125,2.0625
16.03125,2.65625,14.03125,14.125,6.0,20.0625,15.15625,1.9375
16.09375,2.78125,15.0,12.96875,6.21875,20.15625,14.53125,2.25
16.96875,2.34375,13.96875,14.21875,5.53125,20.65625,14.03125,2.28125
16.3125,2.59375,13.15625,13.125,6.0,20.75,15.75,2.3125
16.4375,2.65625,14.6875,13.15625,6.46875,19.875,14.59375,2.125
16.6875,3.03125,13.0625,13.6875,6.0625,20.375,14.65625,2.4375
16.8125,2.625,14.03125,12.8125,6.5,19.875,15.15625,2.1875
16.90625,2.4375,12.96875,14.59375,5.90625,20.375,14.65625,2.15625
16.65625,2.6875,13.46875,13.78125,6.28125,20.5,14.4375,2.1875
15.8125,2.78125,14.25,13.78125,5.90625,20.46875,14.78125,2.21875
16.875,2.34375,13.46875,14.21875,6.0,20.53125,14.59375,1.96875
16.875,2.78125,14.0,14.34375,6.125,19.46875,14.21875,2.1875
16.09375,2.0625,14.9375,13.78125,5.78125,20.46875,14.875,2.0
16.90625,2.375,13.8125,13.375,6.71875,19.9375,14.53125,2.34375
16.40625,2.28125,13.84375,14.03125,5.9375,20.65625,14.90625,1.9375
16.65625,2.625,13.53125,14.0625,6.25,19.96875,14.84375,2.0625
16.3125,2.90625,14.09375,13.5625,6.3125,19.75,14.71875,2.34375
17.3125,2.75,13.125,13.75,5.71875,20.65625,14.75,1.9375
16.5,2.9375,13.5625,13.8125,5.90625,20.3125,14.78125,2.1875
16.625,2.5,13.25,13.8125,6.8125,19.71875,15.15625,2.125
16.71875,2.1875,14.46875,14.0,5.625,20.1875,14.90625,1.90625
16.71875,2.4375,13.625,14.125,6.28125,19.46875,14.71875,2.625
16.59375,2.9375,13.90625,13.5625,6.40625,19.90625,14.78125,1.90625
16.875,2.4375,14.03125,14.125,6.0625,20.0,14.5625,1.90625
16.34375,2.625,14.28125,13.0,6.375,19.75,15.40625,2.21875
16.5,2.71875,13.75,14.15625,6.46875,20.0,14.40625,2.0
16.625,2.46875,12.96875,13.53125,6.40625,20.5,15.0625,2.4375
16.09375,2.4375,14.28125,13.5625,6.25,20.15625,15.15625,2.0625
16.21875,2.65625,14.46875,14.46875,5.9375,19.53125,14.46875,2.25
16.1875,2.53125,14.625,13.28125,5.8125,20.4375,14.65625,2.46875
16.0625,2.71875,14.90625,13.25,5.875,20.40625,15.09375,1.6875
16.4375,2.34375,14.0,13.3125,6.59375,20.3125,14.9375,2.0625
16.875,2.4375,14.34375,12.78125,6.4375,20.15625,14.8125,2.15625
16.0,2.40625,14.59375,13.5,6.15625,20.21875,14.78125,2.34375
16.21875,2.84375,13.53125,13.625,6.15625,19.96875,15.15625,2.5
16.53125,2.90625,13.125,14.0,6.09375,20.1875,14.9375,2.21875
16.21875,2.6875,14.53125,12.46875,6.90625,20.03125,15.125,2.03125
16.625,2.4375,14.0,14.25,5.90625,20.375,14.59375,1.8125
16.5625,2.625,13.53125,13.9375,6.25,20.125,14.6875,2.28125
16.875,2.21875,13.84375,14.25,6.625,19.375,14.71875,2.09375
17.0,2.625,13.375,13.21875,6.40625,19.96875,15.40625,2.0
17.34375,2.75,13.3125,13.15625,6.25,20.03125,15.0625,2.09375
16.15625,2.71875,14.75,11.96875,6.03125,20.96875,15.09375,2.3125
16.125,2.71875,13.90625,13.84375,6.09375,19.875,15.40625,2.03125
16.15625,2.5,13.5,13.53125,6.5,19.5625,16.0,2.25
16.625,2.875,13.5625,13.90625,6.34375,19.9375,14.625,2.125
16.59375,2.625,13.03125,14.125,6.375,19.625,15.28125,2.34375
16.15625,2.71875,13.8125,13.375,6.25,20.3125,15.34375,2.03125
16.5625,2.125,14.9375,12.96875,6.40625,20.0,15.03125,1.96875
16.84375,2.3125,14.625,12.78125,6.125,20.09375,15.03125,2.1875
16.3125,2.40625,13.8125,14.1875,6.4375,19.53125,15.03125,2.28125
17.40625,3.03125,12.9375,13.25,6.28125,19.96875,15.21875,1.90625
16.71875,2.78125,13.6875,13.34375,6.46875,20.1875,14.6875,2.125
16.5625,2.84375,13.125,13.84375,5.9375,20.625,14.75,2.3125
