ma1,ma2,ma3,ma4
27.1875,24.4375,28.8125,25.5625
27.40625,24.9375,28.5,25.15625
28.375,24.625,28.1875,24.8125
28.15625,24.34375,28.65625,24.84375
28.71875,24.25,28.71875,24.3125
27.875,24.8125,28.6875,24.625
28.71875,24.5,29.125,23.65625
28.53125,24.28125,28.21875,24.96875
28.0625,24.0625,28.71875,25.15625
28.1875,24.75,28.53125,24.53125
28.34375,24.84375,27.8125,25.0
27.84375,25.21875,28.0625,24.875
27.625,24.84375,28.4375,25.09375
28.125,24.90625,28.21875,24.75
27.8125,24.84375,28.65625,24.6875
28.25,24.0625,28.5,25.1875
28.25,24.65625,28.34375,24.75
27.1875,24.875,28.875,25.0625
26.96875,24.84375,29.0625,25.125
28.03125,24.78125,28.8125,24.375
27.90625,24.4375,29.125,24.53125
27.96875,24.28125,28.625,25.125
27.875,24.71875,28.71875,24.6875
28.59375,24.1875,28.875,24.34375
27.84375,24.375,29.0,24.78125
27.75,25.0625,28.125,25.0625
27.53125,24.90625,28.15625,25.40625
28.5,24.6875,28.09375,24.71875
27.875,24.34375,28.53125,25.25
28.3125,24.96875,28.03125,24.6875
28.09375,24.625,28.625,24.65625
27.78125,24.375,29.125,24.71875
28.25,24.4375,28.53125,24.78125
27.84375,24.5,28.40625,25.25
27.53125,24.8125,28.53125,25.125
27.875,24.78125,28.4375,24.90625
28.34375,24.3125,28.75,24.59375
28.5625,24.28125,27.90625,25.25
27.84375,24.8125,28.46875,24.875
27.34375,25.5,28.34375,24.8125
28.28125,24.34375,28.375,25.0
28.0,24.3125,28.5,25.1875
28.46875,24.34375,28.03125,25.15625
28.625,23.59375,29.15625,24.625
28.21875,24.6875,28.625,24.46875
28.0625,24.40625,28.1875,25.34375
28.0,24.625,28.375,25.0
27.71875,24.40625,28.5625,25.3125
28.125,24.40625,28.78125,24.6875
27.3125,24.625,28.5,25.5625
28.90625,23.90625,28.6875,24.5
28.65625,24.25,28.5625,24.53125
27.9375,24.84375,28.09375,25.125
28.40625,24.375,28.53125,24.6875
27.96875,24.6875,28.40625,24.9375
28.3125,24.0,28.6875,25.0
28.0,24.1875,28.6875,25.125
28.28125,23.96875,28.1875,25.5625
28.46875,24.34375,28.40625,24.78125
27.125,25.1875,28.0625,25.625
28.09375,24.75,28.09375,25.0625
28.03125,24.1875,29.4375,24.34375
28.34375,24.8125,28.53125,24.3125
27.71875,24.375,28.59375,25.3125
27.96875,23.84375,28.625,25.5625
28.28125,23.90625,29.0,24.8125
28.125,24.21875,28.6875,24.96875
28.75,23.46875,28.21875,25.5625
27.59375,24.15625,29.09375,25.15625
27.90625,24.75,29.0625,24.28125
27.78125,24.875,28.34375,25.0
28.25,24.6875,28.6875,24.375
27.71875,24.84375,28.40625,25.03125
28.0625,24.6875,28.1875,25.0625
28.0625,24.625,28.5,24.8125
27.625,24.1875,28.40625,25.78125
28.34375,24.1875,28.625,24.84375
27.6875,25.125,28.1875,25.0
27.84375,24.59375,28.65625,24.90625
28.5,24.3125,28.0625,25.125
28.125,24.25,28.34375,25.28125
27.71875,24.84375,28.375,25.0625
28.34375,23.96875,28.375,25.3125
28.25,24.65625,28.71875,24.375
28.21875,24.71875,28.34375,24.71875
28.09375,24.5625,28.75,24.59375
28.34375,24.6875,28.15625,24.8125
28.09375,24.96875,27.8125,25.125
26.6875,25.53125,28.25,25.53125
27.8125,24.1875,28.25,25.75
