ma1,ma2,ma3,ma4,ma5
18.6875,16.46875,18.40625,23.03125,23.40625
18.96875,16.03125,19.875,23.0625,22.0625
19.1875,15.84375,20.125,22.5,22.34375
20.0,16.1875,19.84375,22.6875,21.28125
20.625,15.375,20.0,22.25,21.75
19.84375,15.96875,18.90625,22.78125,22.5
19.53125,16.21875,19.09375,23.25,21.90625
19.71875,16.1875,18.5,22.46875,23.125
20.4375,15.25,19.6875,21.90625,22.71875
19.3125,15.625,19.1875,22.3125,23.5625
19.8125,15.75,19.125,23.46875,21.84375
19.8125,16.21875,19.09375,22.09375,22.78125
19.03125,16.125,19.15625,22.5625,23.125
19.875,16.78125,18.8125,22.46875,22.0625
19.5,16.09375,18.0,23.25,23.15625
18.71875,16.25,21.34375,21.8125,21.875
20.125,15.8125,19.28125,22.0625,22.71875
20.8125,15.9375,18.8125,23.0625,21.375
19.90625,15.65625,19.4375,22.3125,22.6875
19.4375,15.8125,18.96875,22.6875,23.09375
20.0,15.65625,18.65625,22.5,23.1875
19.53125,15.1875,19.625,23.53125,22.125
19.6875,15.25,19.25,22.96875,22.84375
19.71875,16.15625,19.0,22.5,22.625
19.28125,15.875,19.65625,22.34375,22.84375
19.9375,15.6875,18.65625,22.625,23.09375
20.1875,15.84375,19.4375,22.8125,21.71875
20.125,15.34375,19.46875,22.8125,22.25
19.65625,16.28125,19.3125,22.53125,22.21875
20.28125,15.59375,19.40625,22.40625,22.3125
19.53125,15.25,19.5,22.25,23.46875
19.65625,15.46875,19.65625,23.125,22.09375
19.4375,15.96875,18.28125,23.5,22.8125
19.40625,15.53125,19.625,22.5625,22.875
20.28125,16.15625,20.25,22.34375,20.96875
19.875,15.78125,19.6875,21.8125,22.84375
19.6875,15.6875,19.3125,22.53125,22.78125
18.65625,15.75,19.65625,22.96875,22.96875
19.71875,15.75,19.8125,22.3125,22.40625
20.4375,15.46875,17.375,23.15625,23.5625
19.34375,15.9375,18.5625,22.84375,23.3125
20.125,15.1875,19.1875,22.9375,22.5625
18.84375,17.0625,18.875,22.40625,22.8125
20.53125,15.875,19.0,22.96875,21.625
20.0625,16.03125,18.53125,22.90625,22.46875
19.375,16.25,19.34375,22.8125,22.21875
19.21875,15.78125,19.53125,23.0625,22.40625
19.90625,15.5,19.5,22.75,22.34375
19.4375,16.5625,19.78125,22.8125,21.40625
19.9375,15.96875,19.125,22.71875,22.25
19.875,16.0,18.03125,22.90625,23.1875
19.4375,16.03125,19.0,22.75,22.78125
20.0,15.96875,19.4375,22.53125,22.0625
19.75,16.125,19.375,22.3125,22.4375
19.78125,15.34375,18.96875,22.9375,22.96875
19.71875,15.78125,19.96875,22.21875,22.3125
19.21875,16.0625,18.75,23.65625,22.3125
21.0,14.65625,19.40625,23.0,21.9375
20.25,16.15625,18.65625,22.25,22.6875
19.65625,15.71875,18.59375,22.78125,23.25
19.78125,15.78125,18.71875,23.71875,22.0
19.6875,16.4375,19.78125,22.5625,21.53125
19.5625,15.84375,19.53125,22.75,22.3125
20.5,15.75,18.9375,22.53125,22.28125
20.21875,16.75,18.25,22.3125,22.46875
20.6875,14.90625,19.59375,22.65625,22.15625
19.375,15.65625,19.09375,22.84375,23.03125
19.34375,16.21875,19.28125,22.84375,22.3125
19.875,15.65625,19.4375,22.53125,22.5
20.0,15.65625,18.875,23.0,22.46875
20.25,16.46875,18.375,22.78125,22.125
20.71875,15.28125,19.65625,22.53125,21.8125
19.25,16.1875,19.78125,22.28125,22.5
18.59375,17.09375,20.09375,21.90625,22.3125
20.09375,16.15625,18.75,23.09375,21.90625
20.25,16.3125,20.03125,23.03125,20.375
20.46875,15.59375,19.09375,22.875,21.96875
