ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10
39.0,37.8125,21.0,31.0,27.4375,7.71875,13.65625,34.5625,15.75,12.0625
38.9375,38.21875,21.59375,30.1875,25.65625,8.125,14.09375,33.84375,15.6875,13.65625
37.25,40.46875,21.8125,29.71875,27.25,7.96875,14.15625,33.0625,15.4375,12.875
38.78125,39.28125,22.09375,30.09375,26.84375,8.0625,13.34375,34.21875,15.15625,12.125
39.40625,39.875,20.75,29.9375,27.1875,7.6875,13.71875,33.625,15.6875,12.125
38.0625,39.65625,21.375,30.125,26.46875,7.9375,15.0625,33.1875,15.375,12.75
38.8125,39.65625,20.59375,31.15625,27.40625,7.0625,14.8125,32.9375,15.59375,11.96875
38.84375,39.375,21.5,29.75,26.5625,7.96875,13.71875,34.71875,15.5625,12.0
38.84375,38.53125,20.3125,30.40625,26.90625,7.75,14.78125,34.03125,15.78125,12.65625
37.875,40.75,21.625,30.25,27.8125,8.5,13.21875,33.15625,15.21875,11.59375
39.125,40.375,20.6875,30.125,26.6875,6.96875,14.625,33.65625,15.0625,12.6875
39.03125,39.4375,21.90625,30.59375,26.25,7.46875,14.125,34.90625,15.28125,11.0
39.28125,39.03125,20.15625,30.3125,26.59375,8.25,14.28125,33.78125,15.71875,12.59375
38.625,38.5625,21.125,29.84375,27.1875,8.0,14.75,34.25,15.75,11.90625
38.21875,37.75,20.75,30.5,27.6875,7.6875,15.03125,34.28125,16.0625,12.03125
38.84375,39.0,20.53125,31.3125,27.375,7.59375,15.6875,33.15625,15.03125,11.46875
39.34375,36.90625,21.90625,30.5,27.03125,8.53125,14.0625,33.65625,14.9375,13.125
38.8125,39.40625,21.1875,30.3125,27.0625,7.375,14.53125,32.8125,16.5,12.0
39.34375,38.625,21.21875,31.78125,26.4375,8.3125,14.15625,32.71875,15.21875,12.1875
39.59375,39.34375,20.8125,30.375,25.84375,8.0,14.125,33.6875,15.5625,12.65625
38.09375,39.21875,21.375,29.90625,27.875,8.15625,14.0,33.4375,15.46875,12.46875
37.90625,39.9375,21.40625,29.84375,28.4375,7.78125,14.6875,31.96875,16.28125,11.75
39.3125,39.15625,21.78125,31.03125,25.875,8.3125,13.46875,33.46875,15.5625,12.03125
40.25,39.09375,21.5,29.0,26.59375,7.96875,14.8125,33.3125,15.90625,11.5625
38.875,39.5,21.34375,29.5625,28.28125,7.78125,13.9375,33.6875,15.46875,11.5625
39.09375,38.4375,21.53125,30.25,26.8125,7.59375,14.5625,33.75,15.71875,12.25
40.09375,39.5,21.21875,29.5625,27.125,7.875,13.53125,33.15625,16.5625,11.375
39.125,40.03125,21.28125,30.40625,26.96875,7.84375,13.65625,34.125,15.0625,11.5
38.875,39.5625,20.875,30.5,27.46875,7.90625,13.40625,33.0625,15.90625,12.4375
38.53125,39.625,21.125,29.8125,27.5,8.03125,14.75,32.71875,15.90625,12.0
40.25,38.15625,22.1875,30.1875,27.59375,7.90625,13.34375,32.46875,15.5,12.40625
39.28125,39.46875,22.25,30.59375,26.3125,7.28125,14.0,33.0625,15.25,12.5
39.40625,38.40625,20.84375,29.375,27.5,8.40625,14.3125,33.1875,16.125,12.4375
38.3125,39.90625,21.1875,30.28125,28.125,8.21875,12.875,33.53125,16.0,11.5625
38.5625,38.03125,21.03125,30.28125,27.21875,7.5625,15.0625,34.375,15.65625,12.21875
39.25,39.5,21.875,29.46875,26.65625,7.8125,14.625,33.125,15.65625,12.03125
39.28125,39.9375,21.0625,30.0625,26.1875,7.6875,14.53125,34.25,15.625,11.375
38.15625,38.4375,21.875,30.90625,26.875,8.59375,13.84375,32.5,16.0,12.8125
38.71875,38.40625,21.0,31.25,26.53125,7.59375,14.0,34.46875,15.5,12.53125
39.15625,39.65625,21.78125,29.71875,27.0,8.21875,14.03125,32.21875,15.6875,12.53125
38.46875,39.625,20.9375,31.0625,25.3125,7.625,14.21875,33.5,16.0,13.25
39.65625,39.15625,21.625,30.40625,27.34375,8.59375,13.09375,32.71875,15.75,11.65625
37.40625,39.375,20.90625,30.84375,28.21875,8.34375,15.21875,32.875,15.46875,11.34375
37.375,38.875,22.1875,30.375,26.65625,8.6875,14.0625,33.78125,15.6875,12.3125
39.34375,41.03125,21.375,29.90625,26.9375,7.53125,13.40625,34.0,15.59375,10.875
38.65625,38.375,21.96875,30.46875,28.4375,7.4375,14.5625,32.84375,15.5,11.75
39.59375,39.125,21.625,29.90625,26.03125,7.5625,14.75,33.65625,15.46875,12.28125
39.40625,39.3125,21.0625,30.25,25.8125,7.75,14.1875,34.40625,15.875,11.9375
38.59375,38.71875,21.34375,31.4375,26.5625,7.625,13.78125,33.9375,15.59375,12.40625
39.71875,39.15625,21.53125,30.0625,26.9375,8.40625,13.125,34.125,14.6875,12.25
38.34375,39.8125,20.6875,29.875,26.5625,7.71875,14.96875,34.21875,15.8125,12.0
39.875,38.125,21.78125,29.8125,27.03125,7.875,13.53125,33.46875,16.1875,12.3125
37.84375,39.71875,21.03125,30.21875,28.0,7.625,14.59375,33.0,16.0625,11.90625
39.625,39.71875,20.4375,30.25,26.8125,7.65625,14.3125,33.34375,16.09375,11.75
38.25,39.3125,21.8125,29.5,25.96875,7.96875,15.15625,32.75,15.8125,13.46875
39.21875,39.3125,21.90625,30.34375,26.875,8.09375,13.625,33.5625,15.09375,11.96875
39.125,39.5625,20.8125,31.0,25.78125,8.21875,14.34375,32.9375,15.78125,12.4375
39.875,37.1875,21.34375,30.40625,27.1875,8.34375,13.53125,33.625,16.5625,11.9375
40.46875,39.125,21.03125,29.84375,26.3125,7.90625,14.125,33.1875,16.1875,11.8125
