min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix,busy_count
461.0,533.71875,671.0,24.475001087179407,215,215,6.71875,0.0,6.71875,0.02799479166666667,0.0,0.02799479166666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49811
484.0,543.03125,639.0,24.178871584823355,236,236,7.375,0.0,7.375,0.030729166666666672,0.0,0.030729166666666672,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49246
446.0,532.09375,615.0,24.232796816155314,223,223,6.96875,0.0,6.96875,0.029036458333333338,0.0,0.029036458333333338,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49351
454.0,535.78125,651.0,24.13252041116357,229,229,7.15625,0.0,7.15625,0.02981770833333333,0.0,0.02981770833333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49427
490.0,555.0625,643.0,24.114536261884496,232,232,7.25,0.0,7.25,0.030208333333333337,0.0,0.030208333333333337,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,48169
458.0,539.40625,687.0,24.141919479938224,214,214,6.6875,0.0,6.6875,0.027864583333333335,0.0,0.027864583333333335,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49262
465.0,538.4375,624.0,24.119851259049028,224,224,7.0,0.0,7.0,0.029166666666666667,0.0,0.029166666666666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,48770
471.0,542.0625,638.0,24.1134311479982,246,246,7.6875,0.0,7.6875,0.03203125,0.0,0.03203125,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49030
458.0,546.78125,620.0,24.10106873093173,241,241,7.53125,0.0,7.53125,0.03138020833333333,0.0,0.03138020833333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,48398
460.0,540.78125,606.0,24.107676852028817,217,217,6.78125,0.0,6.78125,0.02825520833333334,0.0,0.02825520833333334,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49349
463.0,534.59375,634.0,24.080039333784953,235,235,7.34375,0.0,7.34375,0.030598958333333336,0.0,0.030598958333333336,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49589
453.0,538.375,603.0,24.133699608966708,250,250,7.8125,0.0,7.8125,0.03255208333333333,0.0,0.03255208333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49390
466.0,534.0625,597.0,24.11906980886124,210,210,6.5625,0.0,6.5625,0.02734375,0.0,0.02734375,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49079
452.0,551.65625,755.0,24.105143386870623,218,218,6.8125,0.0,6.8125,0.028385416666666673,0.0,0.028385416666666673,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,48089
444.0,549.40625,672.0,24.107535084942356,254,254,7.9375,0.0,7.9375,0.03307291666666667,0.0,0.03307291666666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,48519
459.0,534.0625,625.0,24.113957917084917,255,255,7.96875,0.0,7.96875,0.03320312499999999,0.0,0.03320312499999999,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49231
459.0,552.28125,651.0,24.11584346811287,245,245,7.65625,0.0,7.65625,0.03190104166666667,0.0,0.03190104166666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49092
463.0,543.46875,632.0,24.095951829105616,243,243,7.59375,0.0,7.59375,0.031640625000000006,0.0,0.031640625000000006,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,48952
442.0,535.28125,624.0,24.097579096909612,252,252,7.875,0.0,7.875,0.0328125,0.0,0.0328125,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49467
446.0,543.96875,667.0,24.13760384498164,222,222,6.9375,0.0,6.9375,0.028906250000000005,0.0,0.028906250000000005,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,48955
462.0,554.25,660.0,24.123914384981617,260,260,8.125,0.0,8.125,0.03385416666666667,0.0,0.03385416666666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,48243
428.0,535.3125,629.0,24.12598341307603,242,242,7.5625,0.0,7.5625,0.03151041666666667,0.0,0.03151041666666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49915
431.0,540.03125,656.0,24.12091602291912,243,243,7.59375,0.0,7.59375,0.031640625,0.0,0.031640625,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49193
468.0,539.84375,700.0,24.114882129011676,222,222,6.9375,0.0,6.9375,0.02890625000000001,0.0,0.02890625000000001,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49114
472.0,539.0625,667.0,24.17570236278698,242,242,7.5625,0.0,7.5625,0.03151041666666667,0.0,0.03151041666666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49769
471.0,536.90625,624.0,24.18745992705226,244,244,7.625,0.0,7.625,0.03177083333333334,0.0,0.03177083333333334,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,48961
468.0,540.75,611.0,24.14450545888394,244,244,7.625,0.0,7.625,0.03177083333333333,0.0,0.03177083333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49258
455.0,535.78125,599.0,24.156680626096204,215,215,6.71875,0.0,6.71875,0.02799479166666667,0.0,0.02799479166666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,50358
474.0,538.15625,627.0,24.14452891005203,235,235,7.34375,0.0,7.34375,0.03059895833333334,0.0,0.03059895833333334,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49499
451.0,546.1875,638.0,24.1356862639077,247,247,7.71875,0.0,7.71875,0.03216145833333332,0.0,0.03216145833333332,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49102
479.0,538.625,605.0,24.125957458047196,246,246,7.6875,0.0,7.6875,0.03203125,0.0,0.03203125,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49462
467.0,543.96875,616.0,24.15364466398023,222,222,6.9375,0.0,6.9375,0.028906250000000005,0.0,0.028906250000000005,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49178
433.0,532.03125,628.0,24.150340081192553,233,233,7.28125,0.0,7.28125,0.030338541666666666,0.0,0.030338541666666666,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,50178
450.0,538.46875,635.0,24.134950214996934,238,238,7.4375,0.0,7.4375,0.030989583333333338,0.0,0.030989583333333338,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49633
480.0,541.25,641.0,24.133064443944022,246,246,7.6875,0.0,7.6875,0.03203125,0.0,0.03203125,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49149
466.0,535.75,622.0,24.138816338032484,229,229,7.15625,0.0,7.15625,0.02981770833333334,0.0,0.02981770833333334,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49740
449.0,541.6875,634.0,24.154717253986746,253,253,7.90625,0.0,7.90625,0.032942708333333334,0.0,0.032942708333333334,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49442
489.0,566.3125,705.0,24.155448445817456,227,227,7.09375,0.0,7.09375,0.02955729166666667,0.0,0.02955729166666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,47370
484.0,548.0,640.0,24.147882875055075,243,243,7.59375,0.0,7.59375,0.031640625,0.0,0.031640625,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,48734
479.0,539.09375,611.0,24.13334257900715,238,238,7.4375,0.0,7.4375,0.030989583333333327,0.0,0.030989583333333327,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,48866
475.0,534.375,617.0,24.163270290009677,257,257,8.03125,0.0,8.03125,0.033463541666666666,0.0,0.033463541666666666,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49628
446.0,535.0,604.0,24.113378207897767,230,230,7.1875,0.0,7.1875,0.02994791666666667,0.0,0.02994791666666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,49792
463.0,543.21875,619.0,24.180411234032363,262,262,8.1875,0.0,8.1875,0.03411458333333332,0.0,0.03411458333333332,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,48901
