ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
23.59375,40.34375,12.875,15.34375,26.9375,18.09375,26.8125,11.9375,24.28125,34.3125,0.0,0.0,5.46875,0.0,0.0
21.4375,40.09375,13.0,15.34375,26.53125,19.59375,25.75,12.09375,24.8125,35.96875,0.0,0.0,5.375,0.0,0.0
23.0,38.125,13.53125,16.21875,26.9375,19.9375,24.4375,12.5625,24.4375,35.1875,0.0,0.0,5.625,0.0,0.0
20.625,39.28125,13.59375,15.59375,25.78125,20.0,25.53125,12.90625,24.5,36.78125,0.0,0.0,5.40625,0.0,0.0
22.625,38.6875,13.5,14.5625,27.46875,18.625,26.09375,12.875,25.15625,35.53125,0.0,0.0,4.875,0.0,0.0
21.0,38.625,13.40625,16.34375,27.09375,19.96875,26.15625,12.09375,25.15625,35.15625,0.0,0.0,5.0,0.0,0.0
22.71875,39.15625,12.9375,15.09375,27.8125,19.0,25.28125,12.625,24.25,35.28125,0.0,0.0,5.84375,0.0,0.0
21.375,39.25,13.8125,15.15625,27.875,19.09375,26.625,11.84375,24.0,36.34375,0.0,0.0,4.625,0.0,0.0
22.84375,38.4375,13.625,14.5625,27.0,19.5625,26.21875,12.46875,25.59375,34.6875,0.0,0.0,5.0,0.0,0.0
21.40625,38.90625,13.65625,15.34375,27.5,19.25,26.71875,11.875,24.5625,35.84375,0.0,0.0,4.9375,0.0,0.0
22.96875,38.09375,12.96875,15.59375,26.28125,18.71875,26.625,12.5625,25.34375,35.5,0.0,0.0,5.34375,0.0,0.0
21.1875,38.125,13.25,15.75,27.90625,18.84375,26.84375,11.875,25.4375,35.4375,0.0,0.0,5.34375,0.0,0.0
21.65625,39.625,14.375,14.21875,27.0625,19.5625,25.90625,12.40625,24.65625,35.34375,0.0,0.0,5.1875,0.0,0.0
23.0,39.78125,13.3125,15.03125,26.34375,17.90625,26.21875,12.53125,24.65625,36.15625,0.0,0.0,5.0625,0.0,0.0
21.625,40.0625,13.84375,14.84375,26.40625,19.5,26.3125,12.25,23.71875,36.125,0.0,0.0,5.3125,0.0,0.0
21.75,40.5,13.78125,15.90625,26.9375,18.375,24.75,12.90625,25.3125,34.28125,0.0,0.0,5.5,0.0,0.0
21.0,40.625,13.40625,14.96875,26.625,19.875,26.21875,12.375,24.34375,35.25,0.0,0.0,5.3125,0.0,0.0
22.5,39.625,13.78125,14.375,27.53125,18.9375,25.3125,12.4375,23.75,37.0,0.0,0.0,4.75,0.0,0.0
21.71875,39.25,13.21875,16.03125,26.9375,19.0625,26.09375,12.1875,24.6875,35.75,0.0,0.0,5.0625,0.0,0.0
21.25,39.3125,12.59375,14.375,28.125,18.9375,27.03125,12.4375,25.1875,35.21875,0.0,0.0,5.53125,0.0,0.0
22.28125,39.34375,13.03125,15.09375,26.65625,19.21875,26.09375,12.3125,24.28125,36.71875,0.0,0.0,4.96875,0.0,0.0
21.25,40.1875,13.4375,14.1875,27.40625,19.40625,26.71875,12.96875,23.96875,35.125,0.0,0.0,5.34375,0.0,0.0
22.09375,40.3125,13.15625,15.25,26.96875,19.0625,25.75,11.75,25.09375,35.34375,0.0,0.0,5.21875,0.0,0.0
20.46875,39.34375,13.1875,14.90625,27.6875,17.84375,26.65625,12.5,26.40625,35.90625,0.0,0.0,5.09375,0.0,0.0
22.0,39.21875,14.5,14.8125,26.4375,20.375,25.03125,12.34375,24.5625,35.78125,0.0,0.0,4.9375,0.0,0.0
23.03125,38.59375,13.625,15.625,26.09375,18.5,26.09375,12.84375,23.5625,36.5625,0.0,0.0,5.46875,0.0,0.0
21.09375,38.5,13.3125,15.875,26.9375,17.4375,29.15625,12.25,25.03125,35.25,0.0,0.0,5.15625,0.0,0.0
23.125,37.59375,14.09375,15.53125,26.28125,18.6875,26.3125,12.34375,25.125,35.4375,0.0,0.0,5.46875,0.0,0.0
21.84375,38.25,13.65625,14.78125,27.5625,18.59375,26.84375,11.96875,25.75,35.28125,0.0,0.0,5.46875,0.0,0.0
22.375,39.28125,14.125,14.5,26.90625,19.1875,25.59375,12.15625,24.84375,35.75,0.0,0.0,5.28125,0.0,0.0
21.40625,39.0625,13.4375,15.375,26.8125,18.5,27.40625,12.53125,24.53125,36.0,0.0,0.0,4.9375,0.0,0.0
22.125,38.53125,13.78125,15.03125,26.5625,19.625,26.71875,12.75,23.625,35.9375,0.0,0.0,5.3125,0.0,0.0
21.8125,39.3125,13.5,16.34375,26.65625,19.09375,26.0625,11.71875,24.53125,35.25,0.0,0.0,5.71875,0.0,0.0
22.75,38.84375,13.0625,15.59375,26.625,18.9375,26.40625,11.84375,24.5625,35.875,0.0,0.0,5.5,0.0,0.0
