ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
21.84375,39.34375,12.46875,15.96875,27.03125,20.3125,24.6875,12.375,24.71875,35.875,0.0,0.0,5.375,0.0,0.0
22.53125,38.15625,12.34375,15.71875,27.0625,20.03125,25.96875,11.8125,25.5625,35.4375,0.0,0.0,5.375,0.0,0.0
22.40625,39.6875,13.34375,15.0625,26.15625,18.625,26.71875,12.1875,24.90625,35.53125,0.0,0.0,5.375,0.0,0.0
21.1875,37.84375,13.3125,16.03125,26.75,18.3125,27.5,11.34375,26.875,35.53125,0.0,0.0,5.3125,0.0,0.0
23.0,39.875,13.34375,15.78125,26.0625,18.0625,25.9375,12.46875,24.34375,35.8125,0.0,0.0,5.3125,0.0,0.0
21.125,37.34375,13.125,16.21875,27.3125,18.75,26.875,11.96875,25.96875,36.375,0.0,0.0,4.9375,0.0,0.0
21.3125,39.03125,13.15625,14.625,27.15625,19.65625,26.6875,12.34375,24.625,35.96875,0.0,0.0,5.4375,0.0,0.0
22.4375,38.53125,12.90625,15.1875,27.3125,20.625,25.5625,12.28125,24.15625,35.71875,0.0,0.0,5.28125,0.0,0.0
22.375,38.1875,13.09375,15.4375,27.71875,19.3125,25.3125,12.625,25.84375,35.25,0.0,0.0,4.84375,0.0,0.0
21.25,39.03125,13.28125,15.6875,26.8125,19.0,26.6875,12.46875,26.15625,33.96875,0.0,0.0,5.65625,0.0,0.0
21.8125,39.28125,13.5625,14.9375,28.0625,19.78125,26.34375,11.9375,25.125,33.96875,0.0,0.0,5.1875,0.0,0.0
22.90625,39.0625,14.25,15.03125,27.125,19.03125,26.21875,12.03125,24.59375,34.09375,0.0,0.0,5.65625,0.0,0.0
21.875,38.90625,13.0,15.1875,27.96875,19.5625,26.21875,11.78125,24.34375,36.28125,0.0,0.0,4.875,0.0,0.0
22.09375,39.625,12.6875,16.03125,26.34375,19.40625,24.1875,12.25,25.0625,36.625,0.0,0.0,5.6875,0.0,0.0
21.625,40.03125,12.53125,15.5,26.71875,19.09375,26.75,13.0,24.5,34.90625,0.0,0.0,5.34375,0.0,0.0
21.8125,38.8125,13.4375,15.5625,27.1875,19.96875,26.0,11.65625,24.15625,35.78125,0.0,0.0,5.625,0.0,0.0
21.8125,38.09375,13.90625,14.625,27.40625,19.90625,25.625,12.71875,25.125,35.78125,0.0,0.0,5.0,0.0,0.0
