,lower_95,upper_95
min_makespan,51.0,60.0
avg_makespan,65.53125,70.82890625
max_makespan,78.0,97.0
elapsed,3.637671356135979,3.735373495268868
total_errors,12.0,28.0
total_error,12.0,28.0
total_error_p,0.375,0.875
multi_p,0.0,0.0
seq_p,0.375,0.875
infeas_rate,0.0068181818181818,0.0159090909090909
multi_rate,0.0,0.0
seq_rate,0.0068181818181818,0.0159090909090909
amf_infeas,11.0,22.0
amt_infeas_p,34.375,68.75
total_errors_fix,0.0,0.0
total_error_fix,0.0,0.0
total_error_p_fix,0.0,0.0
multi_p_fix,0.0,0.0
seq_p_fix,0.0,0.0
infeas_rate_fix,0.0,0.0
multi_rate_fix,0.0,0.0
seq_rate_fix,0.0,0.0
amf_infeas_fix,32.0,32.0
amt_infeas_p_fix,100.0,100.0
busy_count,0.0,0.0
