,lower_95,upper_95
min_makespan,45.0,52.0
avg_makespan,57.7796875,61.78125
max_makespan,68.0,88.04999999999998
elapsed,4.048950394697021,4.086825889383908
total_errors,24.475,43.52499999999999
total_error,24.475,43.52499999999999
total_error_p,0.76484375,1.3601562499999997
multi_p,0.0,0.0
seq_p,0.76484375,1.3601562499999997
infeas_rate,0.013906249999999955,0.024730113636363592
multi_rate,0.0,0.0
seq_rate,0.013906249999999955,0.024730113636363592
amf_infeas,4.0,15.0
amt_infeas_p,12.5,46.875
total_errors_fix,0.0,0.0
total_error_fix,0.0,0.0
total_error_p_fix,0.0,0.0
multi_p_fix,0.0,0.0
seq_p_fix,0.0,0.0
infeas_rate_fix,0.0,0.0
multi_rate_fix,0.0,0.0
seq_rate_fix,0.0,0.0
amf_infeas_fix,32.0,32.0
amt_infeas_p_fix,100.0,100.0
busy_count,0.0,0.0
