,lower_95,upper_95
min_makespan,188.0,202.0
avg_makespan,211.90625,219.36015625
max_makespan,230.0,256.0
elapsed,14.898498881747946,14.943293430330232
total_errors,18.0,39.0
total_error,18.0,39.0
total_error_p,0.5625,1.21875
multi_p,0.0,0.0
seq_p,0.5625,1.21875
infeas_rate,0.0053066037735849,0.0114976415094339
multi_rate,0.0,0.0
seq_rate,0.0053066037735849,0.0114976415094339
amf_infeas,7.475000000000001,18.0
amt_infeas_p,23.359375000000004,56.25
total_errors_fix,0.0,0.0
total_error_fix,0.0,0.0
total_error_p_fix,0.0,0.0
multi_p_fix,0.0,0.0
seq_p_fix,0.0,0.0
infeas_rate_fix,0.0,0.0
multi_rate_fix,0.0,0.0
seq_rate_fix,0.0,0.0
amf_infeas_fix,32.0,32.0
amt_infeas_p_fix,100.0,100.0
busy_count,0.0,0.0
