,lower_95,upper_95
min_makespan,1237.9,1346.05
avg_makespan,1434.70234375,1452.55078125
max_makespan,1573.0,1649.5749999999998
elapsed,0.0,0.0
total_errors,516.0,516.0
total_error,516.0,516.0
total_error_p,16.125,16.125
multi_p,0.0,0.0
seq_p,16.125,16.125
infeas_rate,0.0671875,0.0671875
multi_rate,0.0,0.0
seq_rate,0.0671875,0.0671875
amf_infeas,0.0,0.0
amt_infeas_p,0.0,0.0
total_errors_fix,0.0,0.0
total_error_fix,0.0,0.0
total_error_p_fix,0.0,0.0
multi_p_fix,0.0,0.0
seq_p_fix,0.0,0.0
infeas_rate_fix,0.0,0.0
multi_rate_fix,0.0,0.0
seq_rate_fix,0.0,0.0
amf_infeas_fix,32.0,32.0
amt_infeas_p_fix,100.0,100.0
