min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix
49.0,65.8125,82.0,4.3287851442582905,23,23,0.71875,0.0,0.71875,0.013068181818181819,0.0,0.013068181818181819,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
51.0,63.84375,75.0,4.3736755000427365,16,16,0.5,0.0,0.5,0.009090909090909092,0.0,0.009090909090909092,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
55.0,68.71875,86.0,4.391432987060398,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
53.0,65.125,78.0,4.371224905364215,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
47.0,64.625,84.0,4.368165124207735,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
53.0,69.5,84.0,4.38874499918893,16,16,0.5,0.0,0.5,0.009090909090909092,0.0,0.009090909090909092,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
51.0,69.4375,90.0,4.390372924041003,25,25,0.78125,0.0,0.78125,0.014204545454545458,0.0,0.014204545454545458,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
50.0,66.8125,94.0,4.299136999994516,18,18,0.5625,0.0,0.5625,0.010227272727272729,0.0,0.010227272727272729,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
50.0,65.96875,88.0,4.353372219018638,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
55.0,67.75,92.0,4.383613852784038,15,15,0.46875,0.0,0.46875,0.008522727272727274,0.0,0.008522727272727274,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
53.0,67.65625,79.0,4.378940363414586,25,25,0.78125,0.0,0.78125,0.014204545454545458,0.0,0.014204545454545458,10,31.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
53.0,68.34375,86.0,4.374655352905393,18,18,0.5625,0.0,0.5625,0.010227272727272729,0.0,0.010227272727272729,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
53.0,67.8125,84.0,4.266246621031314,16,16,0.5,0.0,0.5,0.009090909090909092,0.0,0.009090909090909092,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
