,lower_95,upper_95
min_makespan,43.0,56.0
avg_makespan,63.940625,69.5
max_makespan,77.0,98.0
elapsed,4.269481827272102,4.431225668126717
total_errors,13.0,29.0
total_error,13.0,29.0
total_error_p,0.40625,0.90625
multi_p,0.0,0.0
seq_p,0.40625,0.90625
infeas_rate,0.0073863636363636,0.0164772727272727
multi_rate,0.0,0.0
seq_rate,0.0073863636363636,0.0164772727272727
amf_infeas,10.0,22.0
amt_infeas_p,31.25,68.75
total_errors_fix,0.0,0.0
total_error_fix,0.0,0.0
total_error_p_fix,0.0,0.0
multi_p_fix,0.0,0.0
seq_p_fix,0.0,0.0
infeas_rate_fix,0.0,0.0
multi_rate_fix,0.0,0.0
seq_rate_fix,0.0,0.0
amf_infeas_fix,32.0,32.0
amt_infeas_p_fix,100.0,100.0
