min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix,busy_count
54.0,64.75,73.0,20.465000302996486,12,12,0.375,0.0,0.375,0.006818181818181819,0.0,0.006818181818181819,22,68.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,64.15625,77.0,20.461923331022263,18,18,0.5625,0.0,0.5625,0.010227272727272729,0.0,0.010227272727272729,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,63.40625,72.0,20.435091405175626,10,10,0.3125,0.0,0.3125,0.005681818181818183,0.0,0.005681818181818183,22,68.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,65.59375,77.0,20.435372268315405,16,16,0.5,0.0,0.5,0.009090909090909092,0.0,0.009090909090909092,20,62.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
58.0,65.71875,74.0,20.369919170625508,18,18,0.5625,0.0,0.5625,0.010227272727272729,0.0,0.010227272727272729,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,64.84375,73.0,20.512662407942116,9,9,0.28125,0.0,0.28125,0.0051136363636363645,0.0,0.0051136363636363645,24,75.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,64.6875,74.0,20.403476926032454,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
58.0,65.21875,79.0,20.424749236088246,13,13,0.40625,0.0,0.40625,0.007386363636363637,0.0,0.007386363636363637,20,62.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
53.0,64.875,79.0,20.544747360982,15,15,0.46875,0.0,0.46875,0.008522727272727274,0.0,0.008522727272727274,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,64.8125,79.0,20.41715391399339,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
