ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
21.15625,33.4375,10.625,15.8125,25.71875,17.9375,28.59375,12.65625,25.125,42.6875,0.0,0.0,6.25,0.0,0.0
21.5,35.59375,11.28125,15.21875,25.25,18.0,27.96875,12.0625,23.875,43.125,0.0,0.0,6.125,0.0,0.0
20.5,33.375,11.03125,15.53125,26.46875,16.8125,28.09375,13.15625,24.375,43.8125,0.0,0.0,6.84375,0.0,0.0
21.78125,33.34375,11.4375,15.375,26.6875,18.4375,27.25,12.625,24.28125,42.46875,0.0,0.0,6.3125,0.0,0.0
22.21875,34.0,11.65625,14.375,25.25,18.90625,27.0,13.0625,23.71875,43.71875,0.0,0.0,6.09375,0.0,0.0
21.5625,34.5,11.15625,14.78125,25.8125,17.625,27.15625,12.4375,25.34375,43.65625,0.0,0.0,5.96875,0.0,0.0
21.78125,34.84375,10.84375,13.90625,25.78125,18.15625,27.9375,12.5,24.78125,43.75,0.0,0.0,5.71875,0.0,0.0
21.59375,35.46875,10.53125,14.59375,25.71875,17.96875,27.15625,12.625,25.25,42.8125,0.0,0.0,6.28125,0.0,0.0
21.71875,33.40625,11.0,15.6875,24.5625,18.375,28.40625,13.0,23.90625,43.75,0.0,0.0,6.1875,0.0,0.0
22.75,34.4375,11.90625,15.65625,25.6875,17.09375,28.21875,12.34375,23.34375,42.6875,0.0,0.0,5.875,0.0,0.0
