min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix,busy_count
399.0,491.5,615.0,128.89086213801056,261,261,8.15625,0.0,8.15625,0.033984375000000004,0.0,0.033984375000000004,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
413.0,493.53125,577.0,128.03790698992088,244,244,7.625,0.0,7.625,0.03177083333333333,0.0,0.03177083333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
421.0,506.78125,560.0,128.162421007175,258,258,8.0625,0.0,8.0625,0.03359375,0.0,0.03359375,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
417.0,499.875,559.0,127.80632996605709,259,259,8.09375,0.0,8.09375,0.03372395833333333,0.0,0.03372395833333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
423.0,515.125,631.0,127.84289203211665,272,272,8.5,0.0,8.5,0.03541666666666667,0.0,0.03541666666666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
413.0,514.625,585.0,127.93390793120489,250,250,7.8125,0.0,7.8125,0.03255208333333333,0.0,0.03255208333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
417.0,490.71875,580.0,128.11572369514033,260,260,8.125,0.0,8.125,0.033854166666666664,0.0,0.033854166666666664,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
443.0,506.8125,568.0,128.12682879390195,275,275,8.59375,0.0,8.59375,0.03580729166666666,0.0,0.03580729166666666,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
402.0,489.40625,556.0,128.1263239486143,262,262,8.1875,0.0,8.1875,0.03411458333333334,0.0,0.03411458333333334,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
397.0,482.625,570.0,127.93121489090845,271,271,8.46875,0.0,8.46875,0.03528645833333334,0.0,0.03528645833333334,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
