ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
21.65625,37.15625,11.25,14.875,25.09375,17.59375,27.0625,12.46875,24.59375,42.125,0.0,0.0,6.125,0.0,0.0
21.8125,36.09375,12.9375,14.53125,25.21875,17.3125,27.5625,12.0625,24.5625,42.1875,0.0,0.0,5.71875,0.0,0.0
19.9375,36.15625,11.78125,14.59375,25.9375,18.1875,28.28125,12.84375,26.0625,39.75,0.0,0.0,6.46875,0.0,0.0
21.21875,35.6875,12.5625,14.84375,25.46875,19.46875,26.96875,11.96875,24.875,41.0,0.0,0.0,5.9375,0.0,0.0
20.5625,36.5625,12.5,14.125,25.9375,18.5625,28.0,13.0,25.375,39.1875,0.0,0.0,6.1875,0.0,0.0
21.875,35.96875,11.75,14.5625,25.84375,17.46875,27.3125,12.375,25.15625,41.59375,0.0,0.0,6.09375,0.0,0.0
20.90625,37.21875,11.875,15.40625,25.96875,17.28125,27.96875,12.25,25.15625,39.78125,0.0,0.0,6.1875,0.0,0.0
20.5,35.03125,10.8125,15.8125,26.875,17.375,27.625,12.75,25.71875,41.5625,0.0,0.0,5.9375,0.0,0.0
21.28125,34.46875,11.6875,15.59375,25.28125,18.6875,28.03125,12.125,26.15625,40.65625,0.0,0.0,6.03125,0.0,0.0
22.375,34.625,11.25,15.15625,26.09375,17.8125,27.3125,12.375,25.78125,41.3125,0.0,0.0,5.90625,0.0,0.0
21.34375,36.09375,11.9375,14.8125,25.0625,18.21875,27.84375,12.0625,25.4375,40.875,0.0,0.0,6.3125,0.0,0.0
20.96875,35.90625,11.09375,14.40625,26.46875,18.4375,27.9375,12.90625,24.46875,41.625,0.0,0.0,5.78125,0.0,0.0
20.375,36.21875,12.90625,15.9375,25.0,17.71875,27.0625,11.96875,25.21875,41.3125,0.0,0.0,6.28125,0.0,0.0
21.5625,36.25,10.96875,14.4375,25.96875,17.40625,27.03125,12.1875,26.1875,41.75,0.0,0.0,6.25,0.0,0.0
21.71875,36.28125,11.40625,14.53125,25.75,18.375,27.59375,12.4375,24.5,41.125,0.0,0.0,6.28125,0.0,0.0
21.4375,36.875,11.65625,14.9375,25.78125,17.96875,27.25,12.375,25.59375,40.5,0.0,0.0,5.625,0.0,0.0
22.1875,35.3125,11.125,14.40625,27.34375,18.40625,26.25,12.15625,26.59375,40.03125,0.0,0.0,6.1875,0.0,0.0
