0 .. {'multi': 1, 'seq': 0, 'total': 1}
1 .. {'multi': 1, 'seq': 0, 'total': 1}
2 .. {'multi': 0, 'seq': 1, 'total': 1}
3 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
4 .. {'multi': 2, 'seq': 0, 'total': 2}
5 .. {'multi': 1, 'seq': 0, 'total': 1}
6 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
7 .. {'multi': 0, 'seq': 1, 'total': 1}
8 .. {'multi': 1, 'seq': 0, 'total': 1}
9 .. {'multi': 1, 'seq': 1, 'total': 2}
10 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
11 .. {'multi': 1, 'seq': 0, 'total': 1}
12 .. {'multi': 1, 'seq': 0, 'total': 1}
13 .. {'multi': 1, 'seq': 0, 'total': 1}
14 .. {'multi': 1, 'seq': 0, 'total': 1}
15 .. {'multi': 2, 'seq': 0, 'total': 2}
16 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
17 .. {'multi': 0, 'seq': 1, 'total': 1}
18 .. {'multi': 0, 'seq': 3, 'total': 3}
19 .. {'multi': 0, 'seq': 1, 'total': 1}
20 .. {'multi': 1, 'seq': 1, 'total': 2}
21 .. {'multi': 1, 'seq': 0, 'total': 1}
22 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
23 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
24 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
25 .. {'multi': 2, 'seq': 0, 'total': 2}
26 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
27 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
28 .. {'multi': 1, 'seq': 0, 'total': 1}
29 .. {'multi': 1, 'seq': 0, 'total': 1}
30 .. {'multi': 1, 'seq': 0, 'total': 1}
31 .. {'multi': 1, 'seq': 0, 'total': 1}
Total errors: 30 - scheduled multiple times: 21, break predecessor constraint: 9
Avg errors per instance: 0.94, scheduled multiple times: 0.66, break predecessor constraint: 0.28
Avg error rates: 0.016741071428571425 - avg rate scheduled multi: 0.011718749999999997, avg rate break predecessor constraint: 0.005022321428571428
Total feasible schedules: 9 / 32: 28.12%
