0 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
1 .. {'multi': 1, 'seq': 0, 'total': 1}
2 .. {'multi': 2, 'seq': 2, 'total': 4}
3 .. {'multi': 1, 'seq': 0, 'total': 1}
4 .. {'multi': 0, 'seq': 1, 'total': 1}
5 .. {'multi': 0, 'seq': 2, 'total': 2}
6 .. {'multi': 1, 'seq': 0, 'total': 1}
7 .. {'multi': 1, 'seq': 1, 'total': 2}
8 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
9 .. {'multi': 1, 'seq': 0, 'total': 1}
10 .. {'multi': 0, 'seq': 2, 'total': 2}
11 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
12 .. {'multi': 1, 'seq': 1, 'total': 2}
13 .. {'multi': 1, 'seq': 0, 'total': 1}
14 .. {'multi': 1, 'seq': 0, 'total': 1}
15 .. {'multi': 0, 'seq': 1, 'total': 1}
16 .. {'multi': 0, 'seq': 2, 'total': 2}
17 .. {'multi': 0, 'seq': 1, 'total': 1}
18 .. {'multi': 1, 'seq': 1, 'total': 2}
19 .. {'multi': 1, 'seq': 1, 'total': 2}
20 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
21 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
22 .. {'multi': 1, 'seq': 0, 'total': 1}
23 .. {'multi': 0, 'seq': 1, 'total': 1}
24 .. {'multi': 1, 'seq': 0, 'total': 1}
25 .. {'multi': 1, 'seq': 0, 'total': 1}
26 .. {'multi': 1, 'seq': 1, 'total': 2}
27 .. {'multi': 2, 'seq': 0, 'total': 2}
28 .. {'multi': 1, 'seq': 1, 'total': 2}
29 .. {'multi': 1, 'seq': 0, 'total': 1}
30 .. {'multi': 1, 'seq': 0, 'total': 1}
31 .. {'multi': 2, 'seq': 0, 'total': 2}
Total errors: 41 - scheduled multiple times: 23, break predecessor constraint: 18
Avg errors per instance: 1.28, scheduled multiple times: 0.72, break predecessor constraint: 0.56
Avg error rates: 0.02287946428571428 - avg rate scheduled multi: 0.012834821428571425, avg rate break predecessor constraint: 0.010044642857142854
Total feasible schedules: 5 / 32: 15.62%
Seconds to run inference: 6.057610336007201 smakespans - avg 41.8, min 39.0, max 45.0
