0 .. {'multi': 1, 'seq': 2, 'total': 3}
1 .. {'multi': 1, 'seq': 1, 'total': 2}
2 .. {'multi': 1, 'seq': 0, 'total': 1}
3 .. {'multi': 0, 'seq': 1, 'total': 1}
4 .. {'multi': 1, 'seq': 1, 'total': 2}
5 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
6 .. {'multi': 1, 'seq': 0, 'total': 1}
7 .. {'multi': 1, 'seq': 1, 'total': 2}
8 .. {'multi': 2, 'seq': 0, 'total': 2}
9 .. {'multi': 1, 'seq': 0, 'total': 1}
10 .. {'multi': 1, 'seq': 0, 'total': 1}
11 .. {'multi': 1, 'seq': 0, 'total': 1}
12 .. {'multi': 1, 'seq': 1, 'total': 2}
13 .. {'multi': 2, 'seq': 0, 'total': 2}
14 .. {'multi': 2, 'seq': 0, 'total': 2}
15 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
16 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
17 .. {'multi': 0, 'seq': 1, 'total': 1}
18 .. {'multi': 1, 'seq': 0, 'total': 1}
19 .. {'multi': 1, 'seq': 0, 'total': 1}
20 .. {'multi': 1, 'seq': 1, 'total': 2}
21 .. {'multi': 1, 'seq': 2, 'total': 3}
22 .. {'multi': 1, 'seq': 1, 'total': 2}
23 .. {'multi': 1, 'seq': 0, 'total': 1}
24 .. {'multi': 0, 'seq': 1, 'total': 1}
25 .. {'multi': 1, 'seq': 1, 'total': 2}
26 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
27 .. {'multi': 1, 'seq': 1, 'total': 2}
28 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
29 .. {'multi': 2, 'seq': 1, 'total': 3}
30 .. {'multi': 1, 'seq': 1, 'total': 2}
31 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
Total errors: 44 - scheduled multiple times: 27, break predecessor constraint: 17
Avg errors per instance: 1.38, scheduled multiple times: 0.84, break predecessor constraint: 0.53
Avg error rates: 0.02455357142857142 - avg rate scheduled multi: 0.01506696428571428, avg rate break predecessor constraint: 0.00948660714285714
Total feasible schedules: 6 / 32: 18.75%
Seconds to run inference: 6.047847791996901 smakespans - avg 40.166666666666664, min 36.0, max 43.0
