0 .. {'multi': 2, 'seq': 0, 'total': 2}
1 .. {'multi': 0, 'seq': 1, 'total': 1}
2 .. {'multi': 0, 'seq': 1, 'total': 1}
3 .. {'multi': 3, 'seq': 1, 'total': 4}
4 .. {'multi': 2, 'seq': 1, 'total': 3}
5 .. {'multi': 2, 'seq': 1, 'total': 3}
6 .. {'multi': 2, 'seq': 0, 'total': 2}
7 .. {'multi': 2, 'seq': 0, 'total': 2}
8 .. {'multi': 1, 'seq': 1, 'total': 2}
9 .. {'multi': 0, 'seq': 2, 'total': 2}
10 .. {'multi': 1, 'seq': 0, 'total': 1}
11 .. {'multi': 1, 'seq': 0, 'total': 1}
12 .. {'multi': 2, 'seq': 0, 'total': 2}
13 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
14 .. {'multi': 3, 'seq': 1, 'total': 4}
15 .. {'multi': 2, 'seq': 1, 'total': 3}
16 .. {'multi': 1, 'seq': 1, 'total': 2}
17 .. {'multi': 1, 'seq': 1, 'total': 2}
18 .. {'multi': 2, 'seq': 0, 'total': 2}
19 .. {'multi': 1, 'seq': 1, 'total': 2}
20 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
21 .. {'multi': 2, 'seq': 2, 'total': 4}
22 .. {'multi': 0, 'seq': 2, 'total': 2}
23 .. {'multi': 1, 'seq': 0, 'total': 1}
24 .. {'multi': 3, 'seq': 0, 'total': 3}
25 .. {'multi': 2, 'seq': 1, 'total': 3}
26 .. {'multi': 1, 'seq': 1, 'total': 2}
27 .. {'multi': 0, 'seq': 1, 'total': 1}
28 .. {'multi': 3, 'seq': 0, 'total': 3}
29 .. {'multi': 1, 'seq': 1, 'total': 2}
30 .. {'multi': 0, 'seq': 1, 'total': 1}
31 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
Total errors: 63 - scheduled multiple times: 41, break predecessor constraint: 22
Avg errors per instance: 1.97, scheduled multiple times: 1.28, break predecessor constraint: 0.69
Avg error rates: 0.035795454545454554 - avg rate scheduled multi: 0.02329545454545455, avg rate break predecessor constraint: 0.012500000000000002
Total feasible schedules: 3 / 32: 9.38%
Seconds to run inference: 4.440480321005452 smakespans - avg 38.892857142857146, min 30.0, max 54.0
