0 .. {'multi': 1, 'seq': 0, 'total': 1}
1 .. {'multi': 2, 'seq': 3, 'total': 5}
2 .. {'multi': 1, 'seq': 0, 'total': 1}
3 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
4 .. {'multi': 1, 'seq': 1, 'total': 2}
5 .. {'multi': 2, 'seq': 2, 'total': 4}
6 .. {'multi': 1, 'seq': 1, 'total': 2}
7 .. {'multi': 1, 'seq': 0, 'total': 1}
8 .. {'multi': 1, 'seq': 0, 'total': 1}
9 .. {'multi': 1, 'seq': 2, 'total': 3}
10 .. {'multi': 1, 'seq': 1, 'total': 2}
11 .. {'multi': 0, 'seq': 1, 'total': 1}
12 .. {'multi': 2, 'seq': 1, 'total': 3}
13 .. {'multi': 1, 'seq': 0, 'total': 1}
14 .. {'multi': 1, 'seq': 1, 'total': 2}
15 .. {'multi': 1, 'seq': 0, 'total': 1}
16 .. {'multi': 0, 'seq': 2, 'total': 2}
17 .. {'multi': 0, 'seq': 1, 'total': 1}
18 .. {'multi': 1, 'seq': 1, 'total': 2}
19 .. {'multi': 2, 'seq': 2, 'total': 4}
20 .. {'multi': 1, 'seq': 2, 'total': 3}
21 .. {'multi': 1, 'seq': 2, 'total': 3}
22 .. {'multi': 1, 'seq': 2, 'total': 3}
23 .. {'multi': 3, 'seq': 2, 'total': 5}
24 .. {'multi': 1, 'seq': 2, 'total': 3}
25 .. {'multi': 1, 'seq': 2, 'total': 3}
26 .. {'multi': 1, 'seq': 1, 'total': 2}
27 .. {'multi': 1, 'seq': 1, 'total': 2}
28 .. {'multi': 0, 'seq': 1, 'total': 1}
29 .. {'multi': 1, 'seq': 1, 'total': 2}
30 .. {'multi': 2, 'seq': 1, 'total': 3}
31 .. {'multi': 2, 'seq': 0, 'total': 2}
Total errors: 71 - scheduled multiple times: 35, break predecessor constraint: 36
Avg errors per instance: 2.22, scheduled multiple times: 1.09, break predecessor constraint: 1.12
Avg error rates: 0.040340909090909094 - avg rate scheduled multi: 0.01988636363636364, avg rate break predecessor constraint: 0.020454545454545458
Total feasible schedules: 1 / 32: 3.12%
Seconds to run inference: 9.66581372602377 smakespans - avg 42.0, min 42.0, max 42.0
