0 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
1 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
2 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
3 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
4 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
5 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
6 .. {'multi': 0, 'seq': 1, 'total': 1}
7 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
8 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
9 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
10 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
11 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
12 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
13 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
14 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
15 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
16 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
17 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
18 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
19 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
20 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
21 .. {'multi': 0, 'seq': 1, 'total': 1}
22 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
23 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
24 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
25 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
26 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
27 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
28 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
29 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
30 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
31 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
Total errors: 2 - scheduled multiple times: 0, break predecessor constraint: 2
Avg errors per instance: 0.06, scheduled multiple times: 0.00, break predecessor constraint: 0.06
Avg error rates: 0.0011363636363636363 - avg rate scheduled multi: 0.0, avg rate break predecessor constraint: 0.0011363636363636363
Total feasible schedules: 30 / 32: 93.75%
makespans - avg 39.48275862068966, min 30.0, max 56.0
