0 .. {'multi': 1, 'seq': 0, 'total': 1}
1 .. {'multi': 2, 'seq': 2, 'total': 4}
2 .. {'multi': 2, 'seq': 0, 'total': 2}
3 .. {'multi': 1, 'seq': 1, 'total': 2}
4 .. {'multi': 1, 'seq': 0, 'total': 1}
5 .. {'multi': 0, 'seq': 3, 'total': 3}
6 .. {'multi': 1, 'seq': 0, 'total': 1}
7 .. {'multi': 1, 'seq': 1, 'total': 2}
8 .. {'multi': 1, 'seq': 1, 'total': 2}
9 .. {'multi': 1, 'seq': 1, 'total': 2}
10 .. {'multi': 0, 'seq': 2, 'total': 2}
11 .. {'multi': 3, 'seq': 0, 'total': 3}
12 .. {'multi': 1, 'seq': 2, 'total': 3}
13 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
14 .. {'multi': 2, 'seq': 0, 'total': 2}
15 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
16 .. {'multi': 1, 'seq': 1, 'total': 2}
17 .. {'multi': 1, 'seq': 0, 'total': 1}
18 .. {'multi': 1, 'seq': 1, 'total': 2}
19 .. {'multi': 1, 'seq': 2, 'total': 3}
20 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
21 .. {'multi': 2, 'seq': 1, 'total': 3}
22 .. {'multi': 1, 'seq': 1, 'total': 2}
23 .. {'multi': 1, 'seq': 2, 'total': 3}
24 .. {'multi': 0, 'seq': 1, 'total': 1}
25 .. {'multi': 1, 'seq': 0, 'total': 1}
26 .. {'multi': 1, 'seq': 1, 'total': 2}
27 .. {'multi': 0, 'seq': 2, 'total': 2}
28 .. {'multi': 0, 'seq': 0, 'total': 0} .. NO ERRORS
29 .. {'multi': 0, 'seq': 1, 'total': 1}
30 .. {'multi': 1, 'seq': 0, 'total': 1}
31 .. {'multi': 2, 'seq': 0, 'total': 2}
Total errors: 56 - scheduled multiple times: 30, break predecessor constraint: 26
Avg errors per instance: 1.75, scheduled multiple times: 0.94, break predecessor constraint: 0.81
Avg error rates: 0.03181818181818182 - avg rate scheduled multi: 0.017045454545454548, avg rate break predecessor constraint: 0.014772727272727276
Total feasible schedules: 4 / 32: 12.50%
Seconds to run inference: 8.230061087058857 smakespans - avg 39.0, min 30.0, max 48.0
