0 .. {'multi': 1, 'seq': 7, 'total': 8}
1 .. {'multi': 1, 'seq': 8, 'total': 9}
2 .. {'multi': 2, 'seq': 10, 'total': 12}
3 .. {'multi': 0, 'seq': 6, 'total': 6}
4 .. {'multi': 0, 'seq': 9, 'total': 9}
5 .. {'multi': 0, 'seq': 7, 'total': 7}
6 .. {'multi': 0, 'seq': 7, 'total': 7}
7 .. {'multi': 1, 'seq': 8, 'total': 9}
8 .. {'multi': 2, 'seq': 4, 'total': 6}
9 .. {'multi': 2, 'seq': 10, 'total': 12}
10 .. {'multi': 1, 'seq': 5, 'total': 6}
11 .. {'multi': 4, 'seq': 9, 'total': 13}
12 .. {'multi': 2, 'seq': 10, 'total': 12}
13 .. {'multi': 2, 'seq': 2, 'total': 4}
14 .. {'multi': 1, 'seq': 5, 'total': 6}
15 .. {'multi': 6, 'seq': 8, 'total': 14}
16 .. {'multi': 0, 'seq': 8, 'total': 8}
17 .. {'multi': 1, 'seq': 4, 'total': 5}
18 .. {'multi': 2, 'seq': 9, 'total': 11}
19 .. {'multi': 1, 'seq': 12, 'total': 13}
20 .. {'multi': 2, 'seq': 7, 'total': 9}
21 .. {'multi': 2, 'seq': 6, 'total': 8}
22 .. {'multi': 1, 'seq': 8, 'total': 9}
23 .. {'multi': 1, 'seq': 4, 'total': 5}
24 .. {'multi': 1, 'seq': 11, 'total': 12}
25 .. {'multi': 2, 'seq': 9, 'total': 11}
26 .. {'multi': 5, 'seq': 6, 'total': 11}
27 .. {'multi': 1, 'seq': 7, 'total': 8}
28 .. {'multi': 0, 'seq': 8, 'total': 8}
29 .. {'multi': 1, 'seq': 7, 'total': 8}
30 .. {'multi': 1, 'seq': 8, 'total': 9}
31 .. {'multi': 0, 'seq': 7, 'total': 7}
Total errors: 282 - scheduled multiple times: 46, break predecessor constraint: 236
Avg errors per instance: 8.81, scheduled multiple times: 1.44, break predecessor constraint: 7.38
Avg error rates: 0.037500000000000006 - avg rate scheduled multi: 0.0061170212765957474, avg rate break predecessor constraint: 0.03138297872340426
Total feasible schedules: 0 / 32: 0.00%
